,year,selling_price,km_driven,fuel,seller_type,transmission,owner
120,2008.0,210000,53772.0,Petrol,Individual,Manual,1.0
121,2012.0,195000,140000.0,Diesel,Individual,Manual,2.0
122,2015.0,400000,120000.0,Diesel,Individual,Manual,1.0
123,2012.0,170000,60000.0,Petrol,Individual,Manual,1.0
124,2016.0,225000,25000.0,Petrol,Individual,Manual,1.0
125,2014.0,210000,60000.0,LPG,Individual,Manual,1.0
126,2020.0,240000,120000.0,Petrol,Individual,Manual,1.0
127,2011.0,99000,100000.0,Petrol,Individual,Manual,3.0
128,2014.0,620000,36000.0,Petrol,Individual,Manual,1.0
129,2013.0,500000,30000.0,Diesel,Individual,Manual,1.0
130,2013.0,260000,70000.0,Petrol,Individual,Manual,2.0
131,2017.0,550000,60000.0,Petrol,Individual,Manual,1.0
132,2011.0,150000,155500.0,Diesel,Individual,Manual,1.0
133,2011.0,350000,50000.0,Petrol,Individual,Automatic,2.0
134,2016.0,320000,40000.0,Petrol,Individual,Manual,1.0
135,2015.0,400000,100000.0,Diesel,Individual,Manual,3.0
136,2012.0,175000,80000.0,Petrol,Individual,Manual,3.0
137,2011.0,120000,90000.0,Petrol,Individual,Manual,2.0
138,2013.0,320000,90000.0,Diesel,Individual,Manual,2.0
139,2006.0,70000,110000.0,Petrol,Individual,Manual,3.0
140,2019.0,810000,15000.0,Petrol,Individual,Manual,1.0
141,2007.0,95000,60000.0,Petrol,Individual,Manual,2.0
142,2020.0,282000,40000.0,CNG,Individual,Manual,1.0
143,2004.0,80000,60000.0,Petrol,Individual,Manual,2.0
144,2013.0,72000,25000.0,Petrol,Individual,Manual,1.0
145,2016.0,600000,25000.0,Petrol,Individual,Manual,1.0
146,2015.0,640000,23000.0,Petrol,Individual,Manual,1.0
147,2018.0,380000,22155.0,Petrol,Individual,Manual,1.0
148,2018.0,650000,70000.0,Petrol,Individual,Manual,1.0
149,2009.0,150000,60000.0,Petrol,Individual,Manual,2.0
150,2009.0,280000,110000.0,Petrol,Individual,Manual,2.0
151,2018.0,430000,30000.0,Petrol,Individual,Manual,1.0
152,2019.0,800000,15000.0,Diesel,Individual,Manual,1.0
153,2003.0,75000,100000.0,Diesel,Individual,Manual,2.0
154,2016.0,650000,70000.0,Diesel,Individual,Automatic,1.0
155,2017.0,390000,24000.0,Petrol,Individual,Manual,1.0
156,2005.0,100000,120000.0,Petrol,Individual,Manual,2.0
157,2007.0,175000,78380.0,Petrol,Individual,Manual,1.0
158,2012.0,434999,110000.0,Diesel,Individual,Manual,2.0
159,2010.0,170000,90000.0,Diesel,Individual,Manual,3.0
160,2011.0,190000,90000.0,Diesel,Individual,Manual,3.0
161,2009.0,250000,150000.0,Diesel,Individual,Manual,3.0
162,2006.0,140000,70000.0,Petrol,Individual,Manual,3.0
163,2017.0,600000,80362.0,Diesel,Individual,Manual,1.0
164,2012.0,280000,110000.0,Petrol,Individual,Manual,3.0
165,2012.0,150000,60000.0,Diesel,Individual,Manual,1.0
166,2015.0,650000,50000.0,Diesel,Individual,Automatic,1.0
167,2014.0,210000,40000.0,Petrol,Individual,Manual,2.0
168,2013.0,425000,20000.0,Diesel,Dealer,Manual,1.0
169,2014.0,265000,55000.0,Petrol,Dealer,Manual,1.0
170,2018.0,890000,1136.0,Petrol,Dealer,Manual,1.0
171,2013.0,365000,55000.0,Petrol,Dealer,Manual,1.0
172,2014.0,350000,43000.0,Petrol,Dealer,Manual,1.0
173,2016.0,685000,60000.0,Diesel,Individual,Manual,1.0
174,2018.0,940000,2650.0,Diesel,Dealer,Manual,1.0
175,2017.0,1000000,40000.0,Diesel,Individual,Manual,1.0
176,2019.0,1150000,15000.0,Petrol,Dealer,Manual,1.0
177,2016.0,450000,115962.0,Diesel,Individual,Manual,2.0
178,2015.0,590000,65000.0,Diesel,Dealer,Manual,1.0
179,2017.0,800000,40000.0,Diesel,Individual,Manual,1.0
180,2012.0,385000,58000.0,Diesel,Dealer,Manual,1.0
181,2012.0,235000,54000.0,Petrol,Dealer,Manual,1.0
182,2017.0,640000,56000.0,Diesel,Dealer,Manual,1.0
183,2006.0,52000,120000.0,Diesel,Individual,Manual,3.0
184,2009.0,80000,90000.0,Diesel,Individual,Manual,2.0
185,2012.0,140000,70000.0,Petrol,Individual,Manual,2.0
186,2008.0,120000,90000.0,Petrol,Individual,Manual,2.0
187,2012.0,180000,120000.0,Diesel,Individual,Manual,1.0
188,2017.0,700000,10000.0,Petrol,Individual,Manual,1.0
189,2012.0,285000,80000.0,Diesel,Individual,Manual,2.0
190,2015.0,390000,90000.0,Petrol,Individual,Manual,1.0
191,2008.0,125000,80000.0,Petrol,Individual,Manual,1.0
192,2008.0,225000,60000.0,Petrol,Individual,Manual,2.0
193,2011.0,175000,139000.0,Petrol,Individual,Manual,2.0
194,2011.0,1075000,160000.0,Diesel,Individual,Manual,2.0
195,2014.0,300000,150000.0,Diesel,Individual,Manual,1.0
196,2010.0,700000,163000.0,Diesel,Individual,Manual,4.0
197,2009.0,90000,120000.0,Diesel,Dealer,Manual,1.0
198,2011.0,120000,120000.0,Diesel,Individual,Manual,2.0
199,2012.0,220000,100000.0,Diesel,Individual,Manual,2.0
200,2015.0,300000,140000.0,Diesel,Dealer,Manual,1.0
201,2010.0,180000,87000.0,Diesel,Dealer,Manual,2.0
202,2013.0,170000,70000.0,Petrol,Individual,Manual,1.0
203,2015.0,300000,50000.0,Petrol,Individual,Manual,2.0
204,2014.0,1050000,70000.0,Diesel,Individual,Manual,1.0
205,2018.0,465000,25000.0,Diesel,Individual,Manual,1.0
206,2011.0,130000,80000.0,Diesel,Individual,Manual,2.0
207,2018.0,434999,10000.0,Petrol,Individual,Manual,1.0
208,2018.0,500000,32000.0,Petrol,Individual,Manual,1.0
209,2018.0,200000,10000.0,Petrol,Individual,Manual,1.0
210,2017.0,625000,52000.0,Petrol,Dealer,Manual,1.0
211,2006.0,110000,120000.0,Diesel,Individual,Manual,3.0
212,2019.0,800000,11240.0,Petrol,Individual,Manual,1.0
213,2017.0,490000,66000.0,Diesel,Dealer,Manual,1.0
214,2017.0,880000,64000.0,Diesel,Dealer,Manual,1.0
215,2013.0,290000,49000.0,Petrol,Individual,Manual,1.0
216,2006.0,115999,100000.0,Diesel,Individual,Manual,2.0
217,2018.0,360000,26500.0,Petrol,Individual,Manual,1.0
218,2002.0,65000,100000.0,Petrol,Individual,Manual,2.0
219,2017.0,685000,72000.0,Diesel,Dealer,Manual,1.0
220,2009.0,300000,50000.0,Petrol,Individual,Manual,1.0
221,2017.0,680000,44000.0,Diesel,Dealer,Manual,1.0
222,2017.0,1000000,60000.0,Diesel,Individual,Manual,2.0
223,2002.0,100000,120000.0,Diesel,Individual,Manual,1.0
224,2010.0,160000,130000.0,Diesel,Individual,Manual,1.0
225,2017.0,450000,70000.0,Diesel,Individual,Manual,1.0
226,2014.0,600000,20000.0,Petrol,Individual,Manual,1.0
227,2009.0,180000,60000.0,Diesel,Individual,Manual,2.0
228,2010.0,120000,90000.0,Petrol,Individual,Manual,2.0
229,2006.0,130000,80000.0,Petrol,Individual,Manual,3.0
230,2011.0,160000,155000.0,Petrol,Individual,Manual,1.0
231,2019.0,860000,35000.0,Diesel,Individual,Manual,1.0
232,2018.0,650000,60000.0,Petrol,Individual,Manual,2.0
233,2010.0,100000,80000.0,Petrol,Individual,Manual,2.0
234,2017.0,282000,20000.0,Petrol,Individual,Manual,1.0
235,2010.0,270000,110000.0,Petrol,Individual,Manual,2.0
236,2013.0,550000,29000.0,Diesel,Individual,Manual,1.0
237,2013.0,450000,120000.0,Diesel,Individual,Manual,1.0
238,2011.0,430000,70000.0,Diesel,Individual,Manual,2.0
239,2013.0,350000,40000.0,Petrol,Individual,Manual,1.0
240,2017.0,350000,20000.0,Petrol,Individual,Manual,1.0
241,2013.0,229999,50000.0,Petrol,Individual,Manual,2.0
242,2013.0,110000,50000.0,Petrol,Individual,Manual,1.0
243,2012.0,395000,49000.0,Petrol,Individual,Manual,2.0
244,2011.0,650000,60000.0,Diesel,Individual,Automatic,2.0
245,2011.0,350000,90000.0,Diesel,Individual,Manual,2.0
246,2018.0,360000,60000.0,Petrol,Individual,Manual,1.0
247,2015.0,800000,15000.0,Diesel,Individual,Manual,1.0
248,2018.0,229999,30000.0,Petrol,Individual,Manual,1.0
249,2014.0,315000,41000.0,Petrol,Dealer,Manual,1.0
250,2012.0,125000,28000.0,Petrol,Individual,Manual,1.0
251,2019.0,700000,60000.0,Petrol,Individual,Manual,1.0
252,2015.0,160000,70000.0,Petrol,Individual,Manual,1.0
253,2017.0,530000,10832.0,Petrol,Dealer,Manual,1.0
254,2018.0,624000,14681.0,Diesel,Dealer,Manual,1.0
255,2009.0,250000,50000.0,Petrol,Individual,Manual,1.0
256,2016.0,585000,51000.0,Diesel,Dealer,Manual,1.0
257,2015.0,500000,25000.0,Petrol,Individual,Manual,1.0
258,2014.0,350000,30000.0,Petrol,Individual,Manual,1.0
259,2014.0,495000,80000.0,Diesel,Dealer,Manual,1.0
260,2017.0,500000,60000.0,Petrol,Individual,Manual,1.0
261,2013.0,345000,44000.0,Petrol,Dealer,Manual,1.0
262,2015.0,500000,60000.0,Petrol,Individual,Manual,1.0
263,2019.0,425000,60000.0,Petrol,Individual,Manual,1.0
264,2005.0,80000,40000.0,Petrol,Individual,Manual,2.0
265,2011.0,106000,50000.0,Diesel,Individual,Manual,1.0
266,2009.0,180000,46730.0,Petrol,Individual,Manual,1.0
267,2015.0,250000,40000.0,Petrol,Individual,Manual,2.0
268,2011.0,350000,80000.0,Diesel,Individual,Manual,1.0
269,2002.0,60000,80000.0,Petrol,Individual,Manual,2.0
270,2018.0,900000,24000.0,Diesel,Individual,Manual,1.0
271,2017.0,700000,21170.0,Diesel,Dealer,Manual,1.0
272,2007.0,160000,120000.0,Diesel,Individual,Manual,3.0
273,2012.0,525000,140000.0,Petrol,Individual,Automatic,1.0
274,2019.0,800000,30000.0,Diesel,Individual,Manual,1.0
275,2017.0,700000,88635.0,Diesel,Dealer,Manual,1.0
276,2018.0,800000,25000.0,Diesel,Individual,Manual,1.0
277,2017.0,575000,20000.0,Petrol,Individual,Manual,2.0
278,2012.0,350000,110000.0,Diesel,Individual,Manual,2.0
279,2008.0,250000,120000.0,Diesel,Individual,Manual,3.0
280,2011.0,600000,149674.0,Diesel,Dealer,Manual,2.0
281,2007.0,370000,100000.0,Diesel,Individual,Manual,3.0
282,2006.0,80000,120000.0,Petrol,Individual,Manual,3.0
283,2003.0,50000,120000.0,Diesel,Individual,Manual,2.0
284,2018.0,900000,25000.0,Diesel,Individual,Manual,1.0
285,2014.0,300000,35000.0,Petrol,Individual,Manual,2.0
286,2002.0,125000,40000.0,Petrol,Individual,Manual,1.0
287,2015.0,490000,60000.0,Diesel,Individual,Manual,2.0
288,2012.0,300000,50000.0,Diesel,Individual,Manual,2.0
289,2013.0,55000,25000.0,Petrol,Individual,Manual,4.0
290,2016.0,350000,25000.0,Petrol,Individual,Manual,1.0
291,2019.0,755000,8000.0,Diesel,Individual,Manual,1.0
292,2017.0,720000,60000.0,Diesel,Individual,Manual,1.0
293,2018.0,1100000,20000.0,Diesel,Individual,Manual,1.0
294,2013.0,400000,100000.0,Petrol,Individual,Manual,1.0
295,2015.0,350000,70000.0,Diesel,Individual,Manual,2.0
296,2012.0,159000,68000.0,Diesel,Dealer,Manual,1.0
297,2017.0,550000,38000.0,Petrol,Dealer,Manual,1.0
298,2013.0,335000,80000.0,Diesel,Dealer,Manual,1.0
299,2014.0,185000,72000.0,CNG,Dealer,Manual,1.0
300,2012.0,229999,75000.0,CNG,Dealer,Manual,1.0
301,2014.0,225000,43000.0,Petrol,Dealer,Manual,1.0
302,2007.0,250000,120000.0,Petrol,Individual,Manual,2.0
303,2015.0,400000,100000.0,Diesel,Individual,Manual,1.0
304,2014.0,470000,163000.0,Diesel,Individual,Manual,1.0
305,2018.0,300000,25000.0,Petrol,Individual,Automatic,1.0
306,2011.0,145000,25000.0,Petrol,Individual,Manual,1.0
307,2007.0,100000,90000.0,Petrol,Individual,Manual,2.0
308,2014.0,500000,70000.0,Diesel,Individual,Manual,2.0
309,2010.0,130000,98000.0,CNG,Individual,Manual,2.0
310,2010.0,240000,81925.0,Diesel,Individual,Manual,1.0
311,2013.0,150000,80000.0,Diesel,Individual,Manual,2.0
312,2017.0,270000,40000.0,Petrol,Individual,Manual,1.0
313,2014.0,400000,90000.0,Diesel,Individual,Manual,1.0
314,2012.0,200000,46000.0,Petrol,Individual,Manual,1.0
315,2012.0,550000,80000.0,Diesel,Individual,Manual,1.0
316,2018.0,325000,35000.0,Petrol,Individual,Manual,1.0
317,2017.0,860000,82080.0,Diesel,Individual,Automatic,1.0
318,2009.0,125000,60000.0,Petrol,Individual,Manual,1.0
319,2010.0,300000,120000.0,Diesel,Individual,Manual,3.0
320,2007.0,190000,60000.0,Petrol,Individual,Manual,3.0
321,2013.0,400000,110000.0,Diesel,Individual,Manual,1.0
322,2011.0,260000,97000.0,Diesel,Individual,Manual,2.0
323,2017.0,400000,30000.0,Petrol,Individual,Manual,1.0
324,2010.0,250000,40000.0,Petrol,Individual,Manual,1.0
325,2019.0,600000,10000.0,Petrol,Individual,Manual,1.0
326,2010.0,175000,52047.0,Petrol,Individual,Manual,1.0
327,2019.0,350000,15000.0,Petrol,Individual,Automatic,2.0
328,2018.0,800000,50000.0,Diesel,Individual,Manual,1.0
329,2011.0,250000,70000.0,Petrol,Individual,Manual,2.0
330,2017.0,600000,90000.0,Diesel,Individual,Manual,1.0
331,2016.0,130000,40000.0,Petrol,Individual,Manual,1.0
332,2006.0,90000,62009.0,Petrol,Individual,Manual,2.0
333,2017.0,595000,33100.0,Petrol,Individual,Manual,2.0
334,2014.0,190000,40000.0,Petrol,Individual,Manual,2.0
335,2007.0,95000,80000.0,Petrol,Individual,Manual,1.0
336,2016.0,1000000,70000.0,Diesel,Individual,Manual,1.0
337,2010.0,400000,50000.0,Diesel,Individual,Manual,1.0
338,2015.0,315000,45000.0,Petrol,Individual,Manual,2.0
339,2014.0,1000000,110000.0,Diesel,Individual,Manual,1.0
340,2014.0,500000,49000.0,Diesel,Individual,Manual,1.0
341,2017.0,500000,160000.0,Diesel,Individual,Manual,1.0
342,2007.0,105000,60000.0,Petrol,Individual,Manual,2.0
343,2008.0,400000,110000.0,Diesel,Individual,Manual,3.0
344,2004.0,80000,60000.0,Petrol,Individual,Manual,3.0
345,2016.0,300000,30000.0,Petrol,Individual,Manual,1.0
346,2017.0,409999,40000.0,Diesel,Individual,Manual,1.0
347,2009.0,250000,70000.0,Petrol,Individual,Manual,1.0
348,2010.0,250000,120000.0,Diesel,Individual,Manual,2.0
349,2012.0,215000,80000.0,Diesel,Individual,Manual,3.0
350,2018.0,475000,20000.0,Petrol,Individual,Manual,1.0
351,2018.0,475000,22000.0,Petrol,Individual,Manual,1.0
352,2008.0,75000,35000.0,Petrol,Individual,Manual,2.0
353,2013.0,200000,60000.0,Diesel,Individual,Manual,2.0
354,2019.0,575000,8000.0,Petrol,Individual,Manual,1.0
355,2011.0,150000,40000.0,Diesel,Individual,Manual,2.0
356,2018.0,850000,10000.0,Diesel,Individual,Manual,1.0
357,2019.0,350000,30000.0,Petrol,Individual,Manual,1.0
358,2011.0,550000,54000.0,Diesel,Individual,Manual,2.0
359,2017.0,330000,80577.0,Petrol,Individual,Manual,1.0
360,2017.0,1044999,25000.0,Diesel,Individual,Manual,1.0
361,2011.0,300000,127500.0,Diesel,Individual,Manual,2.0
362,2015.0,235000,40903.0,Petrol,Dealer,Manual,1.0
363,2011.0,120000,60000.0,Petrol,Individual,Manual,3.0
364,2004.0,130000,46000.0,Petrol,Individual,Manual,1.0
365,2004.0,275000,60000.0,Diesel,Dealer,Manual,2.0
366,2015.0,500000,30000.0,Diesel,Individual,Manual,2.0
367,2015.0,400000,61690.0,Diesel,Dealer,Manual,1.0
368,2015.0,600000,64484.0,Petrol,Dealer,Manual,1.0
369,2013.0,400000,60000.0,Diesel,Dealer,Manual,2.0
370,2011.0,220000,70000.0,Diesel,Individual,Manual,2.0
371,2012.0,300000,85962.0,Petrol,Dealer,Manual,2.0
372,2018.0,250000,120000.0,Petrol,Individual,Manual,1.0
373,2015.0,600000,120000.0,Diesel,Individual,Manual,1.0
374,2012.0,285000,75000.0,Petrol,Individual,Automatic,2.0
375,2009.0,350000,57035.0,Petrol,Dealer,Manual,1.0
376,2011.0,170000,70000.0,Diesel,Individual,Manual,3.0
377,2015.0,229999,45000.0,Petrol,Individual,Manual,1.0
378,2013.0,500000,72104.0,Diesel,Dealer,Manual,2.0
379,2011.0,75000,15000.0,Petrol,Individual,Manual,1.0
380,2016.0,600000,60000.0,Petrol,Individual,Manual,1.0
381,2011.0,220000,80000.0,Diesel,Individual,Manual,1.0
382,2009.0,150000,164000.0,Diesel,Individual,Manual,2.0
383,2006.0,65000,124439.0,Petrol,Individual,Manual,2.0
384,2006.0,120000,77000.0,Petrol,Individual,Manual,2.0
385,2014.0,240000,90000.0,Diesel,Individual,Manual,1.0
386,2017.0,390000,30000.0,Petrol,Individual,Manual,1.0
387,2012.0,180000,50000.0,Petrol,Individual,Manual,1.0
388,2012.0,320000,80000.0,Diesel,Individual,Manual,2.0
389,2018.0,310000,5000.0,Petrol,Individual,Manual,1.0
390,2018.0,420000,24000.0,Diesel,Individual,Automatic,1.0
391,2019.0,550000,10000.0,Petrol,Individual,Manual,1.0
392,2016.0,550000,78000.0,Diesel,Individual,Manual,3.0
393,2018.0,760000,50000.0,Diesel,Individual,Manual,1.0
394,2001.0,43000,60000.0,Petrol,Individual,Manual,2.0
395,2018.0,250000,20000.0,Petrol,Individual,Manual,1.0
396,2019.0,500000,1250.0,Petrol,Individual,Manual,1.0
397,2015.0,380000,17152.0,Petrol,Individual,Manual,1.0
398,2012.0,350000,77000.0,Diesel,Individual,Manual,1.0
399,2008.0,195000,90000.0,Diesel,Individual,Manual,2.0
400,2011.0,225000,80000.0,Petrol,Individual,Manual,2.0
401,2015.0,1125000,65000.0,Diesel,Individual,Manual,1.0
402,2011.0,133000,80000.0,Diesel,Individual,Manual,1.0
403,2013.0,200000,24005.0,Petrol,Individual,Manual,1.0
404,2018.0,940000,20000.0,Diesel,Individual,Manual,1.0
405,2014.0,400000,120000.0,Diesel,Individual,Manual,1.0
406,2009.0,120000,120000.0,Petrol,Individual,Manual,2.0
407,2015.0,625000,60000.0,Diesel,Individual,Manual,1.0
408,2005.0,110000,80000.0,Petrol,Individual,Manual,1.0
409,2012.0,490000,100000.0,Diesel,Individual,Manual,1.0
410,2009.0,140000,120000.0,Petrol,Individual,Manual,2.0
411,2011.0,175000,149000.0,Diesel,Individual,Manual,2.0
412,2005.0,90000,65000.0,Petrol,Individual,Manual,2.0
413,2009.0,275000,100000.0,Diesel,Individual,Manual,2.0
414,2011.0,300000,65000.0,Diesel,Individual,Manual,2.0
415,2018.0,270000,19000.0,Petrol,Individual,Manual,2.0
416,2010.0,130000,80000.0,Petrol,Individual,Manual,2.0
417,2015.0,275000,30000.0,Petrol,Individual,Manual,1.0
418,2012.0,352000,109000.0,Diesel,Individual,Manual,1.0
419,2012.0,180000,90000.0,LPG,Individual,Manual,1.0
420,2012.0,150000,90000.0,Petrol,Individual,Manual,1.0
421,2010.0,300000,110000.0,Diesel,Individual,Manual,2.0
422,2007.0,225000,120000.0,Diesel,Individual,Manual,1.0
423,2014.0,600000,44000.0,Diesel,Individual,Manual,1.0
424,2015.0,500000,80000.0,Petrol,Individual,Manual,1.0
425,2018.0,900000,5000.0,Petrol,Individual,Manual,1.0
426,2016.0,600000,61000.0,Petrol,Individual,Manual,1.0
427,2011.0,450000,100000.0,Diesel,Individual,Manual,2.0
428,2009.0,270000,27633.0,Petrol,Individual,Manual,1.0
429,2010.0,310000,100000.0,Diesel,Individual,Manual,3.0
430,2012.0,250000,100000.0,LPG,Individual,Manual,1.0
431,2019.0,700000,12586.0,Petrol,Dealer,Manual,1.0
